dest room|bill room|date|time|#orders|menu id
restaurant|S14|2016-01-13|11:02:00|5|6
S17|S17|2016-01-12|17:08:00|2|13
S17|S17|2016-01-10|00:48:00|1|12
restaurant|L3|2016-01-27|19:43:00|1|14
restaurant|L3|2016-01-26|07:09:00|2|5
L5|L5|2016-02-09|07:54:00|3|15
restaurant|L5|2016-02-10|06:41:00|3|11
L3|L3|2016-03-29|19:33:00|5|5
restaurant|L3|2016-03-31|18:36:00|5|0
L3|L3|2016-03-29|03:55:00|5|7
restaurant|S2|2016-03-13|22:10:00|1|10
restaurant|S4|2016-03-15|14:45:00|2|4
S8|S8|2016-01-23|20:45:00|1|10
restaurant|L2|2016-02-21|15:37:00|3|11
restaurant|L2|2016-02-23|06:56:00|5|1
L2|L2|2016-02-22|10:30:00|5|11
restaurant|L2|2016-02-18|22:55:00|4|15
restaurant|L1|2016-03-16|14:05:00|1|0
L1|L1|2016-03-16|09:46:00|4|6
restaurant|L1|2016-03-07|11:49:00|1|11
restaurant|L1|2016-03-07|11:31:00|1|9
L1|L1|2016-03-07|04:06:00|3|0
L1|L1|2016-03-17|22:18:00|5|15
restaurant|L1|2016-03-10|16:35:00|3|4
restaurant|S3|2016-02-19|13:44:00|4|15
S4|S4|2016-02-19|13:48:00|2|4
restaurant|S29|2016-02-24|03:54:00|3|0
S1|S1|2016-03-08|05:27:00|1|5
restaurant|S0|2016-01-26|19:20:00|5|1
restaurant|X7|2016-01-24|23:51:00|1|5
restaurant|S9|2016-01-13|18:42:00|2|13
restaurant|S11|2016-01-26|18:40:00|3|12
L1|L1|2016-02-25|02:21:00|1|9
restaurant|S5|2016-02-23|00:54:00|4|4
restaurant|S8|2016-02-21|04:55:00|4|3
restaurant|L3|2016-02-17|13:00:00|5|0
L4|L4|2016-02-18|00:49:00|3|0
restaurant|L1|2016-02-20|09:39:00|5|6
restaurant|S6|2016-03-11|02:52:00|1|11
restaurant|N13|2016-03-14|14:09:00|2|6
N14|N14|2016-03-09|12:56:00|2|10
restaurant|S0|2016-03-25|04:57:00|1|9
restaurant|S1|2016-03-23|10:40:00|2|11
restaurant|N12|2016-03-20|18:32:00|3|2
restaurant|L0|2016-02-02|19:21:00|5|11
restaurant|L5|2016-03-12|17:18:00|5|15
L5|L5|2016-03-12|12:57:00|5|13
restaurant|S1|2016-02-01|22:31:00|4|10
restaurant|L6|2016-02-06|16:36:00|2|12
restaurant|L6|2016-02-09|19:28:00|1|7
L2|L2|2016-01-23|22:33:00|5|1
L3|L3|2016-01-20|19:50:00|5|8
restaurant|L3|2016-01-21|16:24:00|1|2
restaurant|L3|2016-01-24|13:54:00|5|1
restaurant|N5|2016-02-09|11:06:00|5|7
restaurant|N8|2016-02-06|20:49:00|1|1
restaurant|L9|2016-03-13|06:13:00|1|2
restaurant|L9|2016-03-12|20:49:00|1|8
restaurant|L2|2016-01-03|20:20:00|1|0
restaurant|L2|2016-01-04|07:13:00|3|15
restaurant|L5|2016-02-17|18:13:00|5|11
restaurant|S19|2016-01-14|15:22:00|5|6
N15|N15|2016-03-02|02:23:00|2|8
restaurant|N16|2016-03-03|14:40:00|3|7
S0|S0|2016-01-04|07:53:00|2|15
S1|S1|2016-01-04|02:12:00|2|1
restaurant|S2|2016-01-27|00:53:00|5|1
restaurant|S2|2016-01-28|22:22:00|5|6
S2|S2|2016-02-04|14:16:00|3|11
restaurant|S3|2016-02-02|14:05:00|5|11
S3|S3|2016-02-03|14:39:00|2|9
restaurant|S3|2016-01-27|12:07:00|1|14
restaurant|S4|2016-01-31|10:20:00|3|6
S4|S4|2016-01-29|19:14:00|2|7
restaurant|S4|2016-01-25|17:00:00|3|12
restaurant|S4|2016-01-31|06:28:00|2|4
restaurant|S7|2016-03-08|15:37:00|5|9
restaurant|S8|2016-03-06|21:50:00|3|3
restaurant|N12|2016-04-01|16:09:00|3|5
N14|N14|2016-04-07|11:08:00|4|12
restaurant|N21|2016-03-16|09:32:00|1|15
restaurant|N24|2016-03-15|17:46:00|2|15
N25|N25|2016-03-17|03:15:00|3|4
restaurant|L0|2016-01-08|02:09:00|4|9
restaurant|L0|2016-01-16|11:19:00|4|0
restaurant|L0|2016-01-13|23:45:00|5|1
L0|L0|2016-01-06|06:23:00|2|5
restaurant|L0|2016-01-08|19:32:00|2|8
L0|L0|2016-01-11|00:51:00|2|5
S0|S0|2016-03-01|20:35:00|3|8
S2|S2|2016-03-01|23:41:00|5|6
restaurant|S3|2016-03-30|23:20:00|5|13
restaurant|L4|2016-01-22|19:18:00|4|15
restaurant|L4|2016-01-26|07:06:00|4|15
restaurant|L4|2016-01-24|10:24:00|3|6
restaurant|L5|2016-01-28|04:14:00|3|11
restaurant|L5|2016-01-27|15:16:00|5|10
L5|L5|2016-01-25|23:02:00|4|13
restaurant|L5|2016-01-22|14:47:00|3|9
restaurant|L1|2016-02-15|22:03:00|4|13
X9|X9|2016-01-13|13:52:00|3|2
restaurant|L4|2016-03-16|20:47:00|4|11
L4|L4|2016-03-20|01:10:00|3|3
restaurant|L4|2016-03-17|03:05:00|1|13
restaurant|L4|2016-03-20|23:44:00|3|4
restaurant|L2|2016-03-02|01:51:00|3|1
restaurant|S11|2016-03-17|03:28:00|4|13
S88|S88|2016-01-08|08:38:00|2|9
restaurant|S89|2016-01-07|18:50:00|1|3
S90|S90|2016-01-08|12:54:00|4|8
restaurant|S3|2016-03-22|01:43:00|5|7
S9|S9|2016-03-23|00:52:00|5|2
S10|S10|2016-03-19|19:00:00|5|0
restaurant|S10|2016-03-25|19:18:00|5|6
S10|S10|2016-03-19|08:34:00|4|11
L6|L6|2016-03-31|05:55:00|1|2
L6|L6|2016-04-02|14:30:00|3|15
S21|S21|2016-01-28|07:54:00|5|9
restaurant|L1|2016-01-24|23:36:00|2|14
X4|X4|2016-04-02|10:09:00|5|12
L3|L3|2016-03-11|16:06:00|4|4
restaurant|L3|2016-03-12|12:32:00|1|0
L3|L3|2016-03-13|03:07:00|2|15
L3|L3|2016-03-09|19:05:00|2|9
restaurant|L3|2016-03-07|09:55:00|1|9
restaurant|S18|2016-03-11|09:53:00|5|15
restaurant|S19|2016-03-12|03:56:00|1|3
L4|L4|2016-03-11|06:15:00|3|0
L4|L4|2016-03-06|18:04:00|1|4
L4|L4|2016-03-13|12:56:00|1|5
restaurant|L4|2016-03-08|03:34:00|1|5
restaurant|L4|2016-03-08|11:32:00|1|5
restaurant|L2|2016-02-22|05:38:00|5|8
restaurant|L2|2016-02-22|03:23:00|3|10
L5|L5|2016-03-15|15:43:00|3|13
restaurant|L5|2016-03-21|11:20:00|4|0
restaurant|L5|2016-03-22|08:30:00|2|1
restaurant|L5|2016-03-16|14:32:00|3|1
L7|L7|2016-03-22|04:16:00|3|14
L7|L7|2016-03-12|15:14:00|4|11
restaurant|L6|2016-01-28|18:09:00|1|11
S11|S11|2016-02-18|09:17:00|5|7
restaurant|S34|2016-02-23|14:58:00|1|7
restaurant|L2|2016-02-07|20:37:00|3|6
restaurant|S23|2016-01-11|20:53:00|5|3
S24|S24|2016-01-09|03:45:00|3|8
D0|D0|2016-02-13|09:43:00|1|15
L9|L9|2016-02-06|10:18:00|4|14
L9|L9|2016-02-04|20:06:00|1|15
D3|D3|2016-02-27|21:51:00|3|3
restaurant|S25|2016-01-14|02:59:00|5|9
S26|S26|2016-01-13|02:33:00|1|12
S27|S27|2016-01-10|14:23:00|1|14
restaurant|L1|2016-02-01|04:17:00|5|9
restaurant|N17|2016-02-07|12:28:00|1|13
restaurant|N18|2016-02-13|20:51:00|4|11
restaurant|N21|2016-02-07|03:29:00|1|5
restaurant|L21|2016-03-13|16:11:00|2|4
L21|L21|2016-03-14|05:33:00|1|6
restaurant|L21|2016-03-14|02:51:00|4|14
restaurant|L22|2016-03-14|12:45:00|1|1
restaurant|L22|2016-03-10|12:20:00|5|11
restaurant|L3|2016-03-01|09:53:00|3|8
restaurant|L2|2016-01-25|06:48:00|4|9
restaurant|L11|2016-01-26|04:38:00|5|7
L6|L6|2016-03-26|02:07:00|3|9
restaurant|L2|2016-02-16|03:30:00|2|11
restaurant|L3|2016-02-15|23:31:00|3|11
restaurant|D14|2016-03-08|11:09:00|1|9
L1|L1|2016-01-21|03:54:00|3|14
restaurant|L4|2016-02-15|19:09:00|4|10
X8|X8|2016-01-29|15:37:00|1|2
X9|X9|2016-01-20|15:09:00|4|13
restaurant|S4|2016-03-19|07:38:00|2|0
restaurant|S4|2016-03-22|18:35:00|1|13
S4|S4|2016-03-23|20:45:00|3|8
restaurant|S5|2016-03-28|15:59:00|5|4
restaurant|S5|2016-03-27|05:38:00|5|4
S6|S6|2016-03-24|15:03:00|4|4
restaurant|L0|2016-02-05|13:31:00|1|0
L1|L1|2016-02-03|11:28:00|3|2
restaurant|L2|2016-01-10|00:20:00|4|13
restaurant|L2|2016-01-10|07:37:00|5|5
restaurant|L5|2016-03-09|10:41:00|2|13
L5|L5|2016-03-08|23:33:00|3|1
restaurant|S16|2016-03-15|15:14:00|4|1
restaurant|S17|2016-03-15|07:31:00|3|10
restaurant|L1|2016-01-10|05:50:00|4|7
restaurant|L1|2016-01-08|19:10:00|4|9
L7|L7|2016-02-20|10:48:00|3|15
L7|L7|2016-02-20|12:28:00|5|11
restaurant|S19|2016-03-13|06:09:00|5|14
restaurant|S19|2016-03-12|11:47:00|4|10
restaurant|S21|2016-03-17|04:48:00|5|9
restaurant|S21|2016-03-12|09:28:00|5|7
restaurant|S40|2016-02-21|17:41:00|5|6
L2|L2|2016-01-08|15:45:00|4|4
restaurant|L4|2016-01-08|15:40:00|1|10
L6|L6|2016-01-26|23:59:00|5|9
restaurant|L6|2016-01-24|08:25:00|5|10
L6|L6|2016-01-22|10:26:00|1|3
restaurant|L6|2016-01-24|14:09:00|5|7
restaurant|S51|2016-03-19|15:59:00|5|6
S58|S58|2016-03-19|11:53:00|1|1
restaurant|L2|2016-02-03|07:01:00|5|5
restaurant|S7|2016-02-12|00:02:00|5|13
restaurant|S10|2016-02-18|19:04:00|1|12
restaurant|S10|2016-02-21|22:25:00|1|11
S10|S10|2016-02-18|21:32:00|1|5
S24|S24|2016-01-25|12:02:00|5|3
S25|S25|2016-01-28|12:19:00|4|8
restaurant|L1|2016-02-13|08:17:00|2|5
restaurant|L8|2016-01-09|03:57:00|5|13
restaurant|L4|2016-01-30|06:11:00|1|10
restaurant|L4|2016-02-02|18:57:00|4|15
L3|L3|2016-03-19|16:13:00|5|14
restaurant|L3|2016-02-03|00:36:00|2|14
L3|L3|2016-02-05|04:58:00|4|12
L3|L3|2016-02-04|13:26:00|4|5
X9|X9|2016-02-13|08:28:00|5|11
restaurant|X10|2016-02-22|17:37:00|5|12
L6|L6|2016-03-08|09:09:00|3|15
L6|L6|2016-03-09|15:12:00|1|14
L3|L3|2016-01-18|02:09:00|1|4
restaurant|L3|2016-01-16|12:25:00|3|4
restaurant|L3|2016-01-15|06:36:00|1|14
L3|L3|2016-01-17|10:43:00|4|11
S97|S97|2016-03-24|19:42:00|1|7
restaurant|S98|2016-03-26|11:26:00|4|11
restaurant|S98|2016-03-25|14:01:00|2|4
S112|S112|2016-03-27|03:56:00|2|7
restaurant|S112|2016-03-25|18:50:00|3|11
S113|S113|2016-03-29|08:30:00|2|8
restaurant|S113|2016-03-24|21:30:00|1|14
X4|X4|2016-03-25|13:04:00|2|2
S8|S8|2016-03-01|02:39:00|5|5
restaurant|S9|2016-02-29|09:12:00|3|4
restaurant|L4|2016-03-26|03:48:00|4|10
restaurant|L4|2016-03-23|03:19:00|2|12
restaurant|L6|2016-03-18|20:51:00|1|10
L6|L6|2016-03-16|13:28:00|2|11
L6|L6|2016-03-23|02:22:00|1|7
L6|L6|2016-03-22|01:06:00|4|13
restaurant|L6|2016-03-15|01:34:00|2|11
L6|L6|2016-03-23|21:31:00|4|12
restaurant|L9|2016-02-18|21:10:00|1|11
L9|L9|2016-02-18|21:21:00|4|13
L7|L7|2016-04-02|01:54:00|3|1
L7|L7|2016-03-25|03:14:00|3|10
restaurant|L7|2016-03-29|15:28:00|3|10
restaurant|S11|2016-03-03|04:11:00|3|13
restaurant|L7|2016-03-07|12:31:00|4|8
restaurant|L8|2016-03-09|19:13:00|2|7
restaurant|L8|2016-03-12|00:44:00|5|0
L8|L8|2016-03-07|03:52:00|1|14
restaurant|L8|2016-03-13|16:45:00|4|14
restaurant|L8|2016-03-10|15:31:00|4|5
restaurant|L2|2016-03-18|17:34:00|5|11
restaurant|L11|2016-03-18|15:55:00|5|5
restaurant|L11|2016-03-18|21:20:00|3|5
restaurant|S13|2016-01-25|08:24:00|5|4
restaurant|L4|2016-01-11|10:44:00|5|13
restaurant|L4|2016-01-15|11:57:00|1|15
restaurant|L10|2016-02-08|20:09:00|5|10
restaurant|L10|2016-02-10|10:11:00|5|0
restaurant|N10|2016-01-24|14:19:00|3|7
L23|L23|2016-03-17|13:56:00|1|12
L23|L23|2016-03-16|17:59:00|2|11
restaurant|L7|2016-03-25|23:39:00|1|12
D1|D1|2016-01-03|20:26:00|5|14
restaurant|L10|2016-03-08|19:56:00|2|6
L10|L10|2016-03-08|23:49:00|5|0
restaurant|S5|2016-02-04|22:24:00|1|9
S5|S5|2016-01-29|17:59:00|4|12
restaurant|S6|2016-01-29|14:36:00|5|7
S6|S6|2016-02-01|11:01:00|1|3
restaurant|S7|2016-02-01|13:59:00|1|5
restaurant|S8|2016-02-04|14:39:00|5|12
restaurant|S8|2016-01-28|09:04:00|5|13
restaurant|S16|2016-02-29|17:50:00|3|13
S11|S11|2016-03-24|19:10:00|3|8
restaurant|S15|2016-03-24|17:39:00|1|13
S16|S16|2016-03-21|09:40:00|4|8
S16|S16|2016-03-25|14:40:00|3|8
restaurant|S17|2016-03-21|10:11:00|1|0
restaurant|S17|2016-03-25|07:18:00|1|9
S19|S19|2016-03-25|18:58:00|5|7
S20|S20|2016-03-22|09:33:00|3|9
restaurant|S20|2016-03-26|15:31:00|2|6
S0|S0|2016-02-09|03:01:00|1|9
restaurant|S1|2016-02-12|13:15:00|4|5
restaurant|L11|2016-03-07|08:17:00|5|11
L11|L11|2016-03-07|08:14:00|5|3
restaurant|L11|2016-03-09|06:10:00|5|14
L24|L24|2016-03-24|19:12:00|2|1
restaurant|S12|2016-01-06|19:17:00|5|11
restaurant|L12|2016-03-09|12:41:00|1|12
restaurant|L12|2016-03-05|07:53:00|1|15
restaurant|L12|2016-03-07|12:03:00|4|6
restaurant|L12|2016-03-08|07:08:00|1|11
restaurant|N22|2016-02-02|15:56:00|3|2
restaurant|N23|2016-02-05|03:35:00|5|15
N24|N24|2016-01-31|03:30:00|4|3
N25|N25|2016-02-12|02:41:00|3|11
restaurant|X14|2016-01-21|00:55:00|2|11
restaurant|X15|2016-01-25|17:44:00|5|12
restaurant|L5|2016-03-02|00:51:00|1|0
restaurant|D4|2016-02-25|07:37:00|4|0
S24|S24|2016-03-21|23:54:00|1|12
S25|S25|2016-03-22|07:47:00|4|8
restaurant|S26|2016-03-22|22:30:00|5|0
S40|S40|2016-02-14|15:57:00|4|3
S10|S10|2016-02-07|14:45:00|3|9
restaurant|S12|2016-02-08|19:34:00|5|15
restaurant|S17|2016-01-22|11:14:00|5|8
restaurant|L8|2016-03-30|13:36:00|4|4
L8|L8|2016-03-22|09:15:00|2|9
restaurant|L8|2016-03-30|05:10:00|5|7
restaurant|L8|2016-01-23|01:15:00|5|5
restaurant|L8|2016-01-25|04:17:00|3|8
L9|L9|2016-01-26|15:04:00|5|13
restaurant|L9|2016-01-26|04:53:00|2|4
S7|S7|2016-01-16|17:33:00|1|11
L10|L10|2016-03-26|08:40:00|5|11
restaurant|L10|2016-03-27|00:51:00|4|15
L10|L10|2016-04-04|07:33:00|1|12
restaurant|S23|2016-03-11|08:03:00|1|15
S24|S24|2016-03-09|12:36:00|5|8
L6|L6|2016-02-28|10:04:00|4|4
restaurant|L6|2016-03-01|09:12:00|1|7
L7|L7|2016-02-29|05:00:00|1|7
restaurant|X7|2016-03-23|22:50:00|3|6
S34|S34|2016-01-19|07:51:00|3|3
S34|S34|2016-01-11|16:16:00|2|13
restaurant|S34|2016-01-21|05:00:00|5|9
S10|S10|2016-03-08|13:46:00|5|6
restaurant|S11|2016-03-10|11:53:00|5|7
restaurant|S13|2016-03-07|19:20:00|4|4
L10|L10|2016-03-27|02:16:00|1|3
restaurant|L11|2016-03-27|14:09:00|1|15
restaurant|L5|2016-01-01|02:33:00|3|0
L5|L5|2016-01-11|16:48:00|1|6
restaurant|L12|2016-03-23|21:48:00|1|0
L12|L12|2016-03-23|00:48:00|3|15
restaurant|L14|2016-03-10|22:42:00|1|8
L14|L14|2016-03-12|09:02:00|5|14
L14|L14|2016-03-08|09:41:00|1|3
L14|L14|2016-03-15|18:08:00|2|10
restaurant|L14|2016-03-08|20:26:00|5|0
L15|L15|2016-03-14|23:06:00|4|5
L15|L15|2016-03-14|23:30:00|3|3
N18|N18|2016-03-26|05:37:00|1|2
restaurant|N30|2016-03-18|19:36:00|2|13
N32|N32|2016-03-23|05:13:00|3|0
restaurant|N34|2016-03-13|19:32:00|1|0
L3|L3|2016-02-21|15:54:00|2|6
L3|L3|2016-02-19|08:03:00|4|10
L3|L3|2016-02-22|17:00:00|4|10
restaurant|L6|2016-02-19|14:24:00|2|1
restaurant|L6|2016-02-19|05:28:00|4|4
L6|L6|2016-02-22|11:04:00|2|6
L7|L7|2016-02-24|06:48:00|3|8
L6|L6|2016-01-13|15:35:00|5|5
S19|S19|2016-03-02|07:22:00|4|15
S27|S27|2016-03-02|04:14:00|5|2
restaurant|S28|2016-03-04|05:31:00|2|13
L0|L0|2016-02-14|13:00:00|1|2
restaurant|L30|2016-03-28|00:43:00|3|4
restaurant|L8|2016-02-22|23:39:00|1|10
restaurant|L16|2016-02-18|20:01:00|4|7
restaurant|L4|2016-01-20|12:37:00|4|11
L4|L4|2016-01-20|06:44:00|1|15
restaurant|N23|2016-04-02|22:52:00|1|9
N26|N26|2016-04-02|18:48:00|3|15
restaurant|L12|2016-02-08|19:05:00|1|5
restaurant|L12|2016-02-06|08:21:00|3|11
restaurant|L12|2016-02-11|01:39:00|4|14
restaurant|L10|2016-01-26|22:20:00|2|2
L11|L11|2016-02-15|07:48:00|1|10
restaurant|L11|2016-02-19|20:26:00|4|8
restaurant|L11|2016-02-15|17:55:00|3|4
restaurant|L11|2016-02-16|06:07:00|1|4
L12|L12|2016-02-10|10:41:00|1|2
restaurant|L12|2016-02-14|20:16:00|3|5
restaurant|S12|2016-02-13|18:47:00|2|2
restaurant|L11|2016-02-02|07:22:00|4|12
restaurant|L5|2016-01-31|17:46:00|1|10
restaurant|L5|2016-01-31|04:49:00|4|6
restaurant|L24|2016-01-26|18:36:00|3|3
D9|D9|2016-02-05|06:17:00|2|10
restaurant|L13|2016-03-27|11:28:00|4|10
restaurant|L13|2016-03-25|01:18:00|4|15
L13|L13|2016-03-25|03:41:00|5|1
restaurant|S8|2016-02-06|08:26:00|4|0
S9|S9|2016-02-04|01:22:00|3|1
S10|S10|2016-01-31|15:03:00|3|5
restaurant|S12|2016-01-27|01:13:00|5|12
S15|S15|2016-02-06|01:43:00|4|13
restaurant|S16|2016-02-07|21:37:00|2|8
restaurant|S41|2016-01-17|12:31:00|1|15
S42|S42|2016-01-10|01:56:00|1|4
restaurant|S42|2016-01-14|17:18:00|4|0
S42|S42|2016-01-11|19:06:00|4|15
L4|L4|2016-02-20|23:40:00|1|2
L4|L4|2016-02-19|18:55:00|1|6
L18|L18|2016-02-21|10:32:00|1|2
restaurant|L5|2016-02-05|20:18:00|4|11
L5|L5|2016-02-06|19:48:00|3|14
restaurant|S43|2016-01-17|13:02:00|1|5
restaurant|S43|2016-01-11|18:58:00|3|2
restaurant|S43|2016-01-09|11:24:00|5|5
restaurant|S44|2016-01-16|16:19:00|2|11
S44|S44|2016-01-15|02:26:00|4|8
S44|S44|2016-01-10|10:03:00|1|3
restaurant|S45|2016-01-15|08:00:00|4|13
restaurant|S45|2016-01-15|08:24:00|4|6
restaurant|S45|2016-01-16|15:28:00|3|10
restaurant|L4|2016-01-18|22:31:00|4|14
restaurant|L11|2016-01-25|12:34:00|5|9
L6|L6|2016-01-02|20:45:00|5|5
restaurant|L6|2016-01-02|02:10:00|4|11
restaurant|L10|2016-02-06|06:13:00|4|5
restaurant|L10|2016-02-06|16:51:00|5|7
L11|L11|2016-02-06|08:50:00|2|13
L7|L7|2016-01-15|11:37:00|1|13
L7|L7|2016-01-10|22:59:00|4|13
restaurant|L7|2016-01-11|04:19:00|5|4
L8|L8|2016-01-13|10:57:00|3|0
restaurant|L11|2016-03-13|02:44:00|3|10
restaurant|L7|2016-02-01|10:06:00|4|15
restaurant|S15|2016-03-07|08:53:00|5|7
restaurant|S17|2016-03-05|07:47:00|1|8
N34|N34|2016-02-09|23:36:00|3|7
L14|L14|2016-03-26|07:14:00|5|15
L14|L14|2016-03-27|23:16:00|2|14
N39|N39|2016-02-11|08:32:00|4|2
N40|N40|2016-02-10|12:47:00|3|10
restaurant|L9|2016-01-12|02:44:00|3|9
restaurant|L10|2016-01-11|09:24:00|3|8
restaurant|L10|2016-01-12|20:20:00|3|10
restaurant|S48|2016-01-10|14:31:00|3|15
S49|S49|2016-01-05|18:27:00|3|0
restaurant|S49|2016-01-06|19:59:00|5|10
S50|S50|2016-01-10|22:41:00|1|0
restaurant|S51|2016-01-07|08:55:00|5|12
restaurant|L8|2016-02-10|18:02:00|4|12
L8|L8|2016-02-12|04:49:00|2|13
restaurant|S18|2016-03-05|00:55:00|3|7
S19|S19|2016-03-06|07:25:00|1|7
L9|L9|2016-01-13|03:25:00|2|12
L9|L9|2016-01-13|02:31:00|1|8
L10|L10|2016-01-13|22:15:00|3|8
L11|L11|2016-01-15|13:13:00|2|2
L11|L11|2016-01-11|07:55:00|1|2
restaurant|L11|2016-01-10|09:35:00|4|0
restaurant|L11|2016-01-07|00:12:00|5|1
restaurant|L11|2016-01-12|09:39:00|2|11
S24|S24|2016-03-17|14:01:00|1|1
S25|S25|2016-03-19|10:00:00|2|14
S26|S26|2016-03-17|17:16:00|1|6
restaurant|S26|2016-03-16|23:18:00|4|1
restaurant|S27|2016-03-19|02:23:00|4|12
S27|S27|2016-03-18|21:35:00|4|8
restaurant|S28|2016-03-20|04:42:00|4|6
restaurant|S28|2016-03-16|22:41:00|5|10
L6|L6|2016-02-14|21:42:00|4|14
restaurant|L6|2016-02-14|20:55:00|5|3
L5|L5|2016-01-20|01:19:00|2|2
L6|L6|2016-01-19|01:47:00|5|14
restaurant|N22|2016-01-06|16:12:00|2|4
N23|N23|2016-01-05|15:00:00|1|7
N26|N26|2016-01-04|01:03:00|1|3
S53|S53|2016-01-13|08:49:00|4|0
restaurant|S53|2016-01-13|17:43:00|3|13
S54|S54|2016-01-12|04:11:00|1|0
restaurant|S33|2016-01-26|00:36:00|4|14
restaurant|S37|2016-01-29|07:23:00|4|1
restaurant|L11|2016-03-30|21:33:00|2|4
L7|L7|2016-01-19|15:42:00|5|6
restaurant|L7|2016-01-18|08:44:00|4|4
L7|L7|2016-01-15|21:01:00|1|11
restaurant|L7|2016-01-22|10:56:00|3|1
L7|L7|2016-01-18|21:03:00|3|8
restaurant|L8|2016-01-18|15:13:00|4|7
L8|L8|2016-01-16|14:40:00|2|6
L12|L12|2016-03-16|08:49:00|3|15
